class,r,g,b
water,59, 129, 208
veg_dune_grass,110, 175, 41
veg_other_grass,19, 220, 25
veg_woody,26, 113, 32
sand,192, 208, 59
roads,105, 102, 105
buildings,222, 62, 93
people,116, 52, 107
cars,221, 156, 26
